Designator,Mid X,Mid Y,Rotation,Layer
R6_6,-135.500003,53.500004,-90.0,top
C4_4,-63.099995,26.499993,45.0,top
R3_6,-120.000003,50.500004,0.0,top
D3_4,-67.499995,21.999993,-90.0,top
R4_6,-120.500003,-12.250018,0.0,top
C6_5,-97.799999,-4.800018,45.0,top
C3_5,-87.479999,-11.000018,180.0,top
R3_5,-86.999999,50.500004,0.0,top
C6_4,-97.799999,61.200004,45.0,top
R4_5,-87.499999,53.750004,0.0,top
R4_4,-54.499995,20.749993,0.0,top
D6_3,-91.999999,46.500004,180.0,top
D7_5,-58.999995,-2.500018,0.0,top
R6_5,-135.500003,-12.500018,-90.0,top
U1_4,-125.000003,55.000004,0.0,top
R3_4,-86.999999,17.499993,0.0,top
C5_6,-65.399995,-11.200018,-90.0,top
C5_5,-65.399995,54.800004,-90.0,top
R4_3,-87.499999,-12.250018,0.0,top
R6_4,-69.499995,20.499993,-90.0,top
Q1_2,-54.549995,24.687493,90.0,top
C4_3,-129.100003,-6.500018,45.0,top
C5_4,-131.400003,54.800004,-90.0,top
R5_5,-94.749999,-15.000018,-90.0,top
D3_3,-133.500003,55.000004,-90.0,top
R1_7,-56.249995,21.249993,-90.0,top
D6_2,-58.999995,13.499993,180.0,top
R3_3,-53.999995,50.500004,0.0,top
R1_6,-122.250003,-11.750018,-90.0,top
C4_2,-129.100003,26.499993,45.0,top
R4_2,-87.499999,20.749993,0.0,top
C6_3,-64.799995,-4.800018,45.0,top
R6_3,-69.499995,53.500004,-90.0,top
C1_2,-127.750003,21.269993,-90.0,top
R3_2,-86.999999,-15.500018,0.0,top
D7_4,-91.999999,63.500004,0.0,top
R4,-54.499995,53.750004,0.0,top
C5_3,-98.399999,-11.200018,-90.0,top
C4,-96.099999,59.500004,45.0,top
C3_4,-87.479999,21.999993,180.0,top
R2_4,-64.499995,51.000004,90.0,top
C5_2,-131.400003,21.799993,-90.0,top
U1_3,-91.999999,55.000004,0.0,top
C3_3,-120.480003,55.000004,180.0,top
R5_4,-61.749995,51.000004,-90.0,top
C3_2,-120.480003,-11.000018,180.0,top
Q1,-120.550003,-8.312518,90.0,top
R5_3,-94.749999,51.000004,-90.0,top
R5_2,-127.750003,17.999993,-90.0,top
R2_3,-97.499999,17.999993,90.0,top
C1,-61.749995,-11.730018,-90.0,top
C2_4,-57.979995,57.500004,180.0,top
R1_5,-89.249999,-11.750018,-90.0,top
R2_2,-64.499995,17.999993,90.0,top
R1_4,-89.249999,54.250004,-90.0,top
D6,-91.999999,-19.500018,180.0,top
R3,-120.000003,17.499993,0.0,top
U1_2,-91.999999,-11.000018,0.0,top
D2_3,-83.499999,21.999993,-90.0,top
D2_2,-83.499999,-11.000018,-90.0,top
D7_3,-125.000003,-2.500018,0.0,top
D2,-116.500003,-11.000018,-90.0,top
D3_2,-100.499999,21.999993,-90.0,top
D7_2,-58.999995,30.499993,0.0,top
D7,-125.000003,30.499993,0.0,top
